City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Bahia Blanca,AR,2022-04-21 16:57:59,-38.7196,-62.2724,66.07,32,96,16.93
234,Biharamulo,TZ,2022-04-21 16:58:00,-2.6319,31.3089,63.99,92,84,3.11
235,Zaraza,VE,2022-04-21 16:54:03,9.3503,-65.3245,93.56,38,89,4.25
236,Awjilah,LY,2022-04-21 16:55:40,29.1081,21.2869,81.54,12,59,8.63
237,Makakilo City,US,2022-04-21 16:58:01,21.3469,-158.0858,70.68,84,94,14.18
238,Norman Wells,CA,2022-04-21 16:58:02,65.282,-126.8329,19.44,53,20,0.0
239,Yulara,AU,2022-04-21 16:58:02,-25.2406,130.9889,62.44,34,4,6.91
240,Andra,RU,2022-04-21 16:58:03,62.5147,65.8878,14.0,87,95,10.45
241,Blankenberge,BE,2022-04-21 16:58:03,51.3131,3.1323,64.96,53,15,7.0
242,Te Anau,NZ,2022-04-21 16:58:04,-45.4167,167.7167,44.29,95,100,1.63
243,Hervey Bay,AU,2022-04-21 16:58:04,-25.2986,152.8535,74.28,65,100,17.63
244,Aksarka,RU,2022-04-21 16:58:04,66.5606,67.7975,9.97,78,99,20.89
245,Cotonou,BJ,2022-04-21 16:58:05,6.3654,2.4183,85.98,70,20,5.75
246,Uyuni,BO,2022-04-21 16:58:05,-20.4597,-66.825,56.26,11,65,14.07
247,Anamur,TR,2022-04-21 16:58:05,36.0751,32.8369,61.97,79,47,7.63
248,Port Blair,IN,2022-04-21 16:58:06,11.6667,92.75,82.44,78,20,2.3
249,Saskylakh,RU,2022-04-21 16:58:06,71.9167,114.0833,5.52,98,100,4.81
250,Olafsvik,IS,2022-04-21 16:57:16,64.8945,-23.7142,47.12,84,100,6.76
251,Buraydah,SA,2022-04-21 16:58:07,26.326,43.975,84.65,16,60,11.74
252,Shimoda,JP,2022-04-21 16:58:07,34.6667,138.95,60.1,95,100,13.67
253,Souillac,MU,2022-04-21 16:58:08,-20.5167,57.5167,79.18,83,75,8.05
254,Havoysund,NO,2022-04-21 16:58:08,70.9963,24.6622,41.23,94,92,21.3
255,Nizhniy Odes,RU,2022-04-21 16:58:08,63.6445,54.856,22.66,84,92,4.63
256,Rawson,AR,2022-04-21 16:56:45,-43.3002,-65.1023,61.29,46,100,21.72
257,Ouesso,CG,2022-04-21 16:58:09,1.6136,16.0517,70.52,99,100,3.2
258,Kieta,PG,2022-04-21 16:58:09,-6.2167,155.6333,79.02,85,98,0.29
259,Adre,TD,2022-04-21 16:58:10,13.4667,22.2,89.78,14,77,1.48
260,Wad Madani,SD,2022-04-21 16:58:10,14.4012,33.5199,104.25,13,66,4.09
261,Magistralnyy,RU,2022-04-21 16:58:10,56.1725,107.4458,20.37,92,69,1.34
262,Bacolod,PH,2022-04-21 16:58:11,10.6667,122.95,79.3,84,40,6.46
263,Cap Malheureux,MU,2022-04-21 16:58:11,-19.9842,57.6142,78.48,83,67,5.99
264,Lipin Bor,RU,2022-04-21 16:58:12,60.2622,37.9763,38.3,83,8,5.19
265,Woodward,US,2022-04-21 16:58:12,36.4337,-99.3904,79.83,78,100,13.8
266,Sur,OM,2022-04-21 16:58:13,22.5667,59.5289,86.18,53,9,6.51
267,Lagoa,PT,2022-04-21 16:58:13,39.05,-27.9833,57.07,67,100,21.41
268,Sao Jose Da Coroa Grande,BR,2022-04-21 16:58:14,-8.8978,-35.1478,83.48,65,45,6.82
269,Valparaiso,CL,2022-04-21 16:56:53,-33.0393,-71.6273,66.43,55,0,10.36
270,Cabo San Lucas,MX,2022-04-21 16:55:40,22.8909,-109.9124,78.62,72,0,3.0
271,Dingle,PH,2022-04-21 16:58:14,10.9995,122.6711,77.74,89,50,7.29
272,Port Hedland,AU,2022-04-21 16:58:15,-20.3167,118.5667,78.85,34,44,4.61
273,Charyshskoye,RU,2022-04-21 16:58:15,51.3978,83.5598,45.97,94,100,13.49
274,Rio Grande,BR,2022-04-21 16:59:16,-32.035,-52.0986,82.51,55,91,5.1
275,Laguna,US,2022-04-21 16:59:16,38.421,-121.4238,58.14,86,75,10.36
276,Isangel,VU,2022-04-21 16:59:16,-19.55,169.2667,76.48,85,8,6.98
277,Beberibe,BR,2022-04-21 16:56:00,-4.1797,-38.1306,84.25,70,56,10.98
278,Khandyga,RU,2022-04-21 16:59:17,62.6667,135.6,12.11,98,95,1.61
279,Valdivia,CL,2022-04-21 16:57:22,-39.8142,-73.2459,57.29,96,100,9.46
280,Yar-Sale,RU,2022-04-21 16:58:07,66.8333,70.8333,10.94,92,100,23.17
281,La Libertad,EC,2022-04-21 16:59:18,-2.2333,-80.9,76.66,83,0,9.22
282,Kralendijk,BQ,2022-04-21 16:59:18,12.15,-68.2667,78.96,80,66,14.65
283,Itainopolis,BR,2022-04-21 16:59:19,-7.4469,-41.4783,92.23,37,87,5.03
284,Mount Gambier,AU,2022-04-21 16:59:19,-37.8333,140.7667,53.51,66,100,6.91
285,Wawa,NG,2022-04-21 16:59:20,9.9022,4.4192,92.57,44,98,9.31
286,Qabaqcol,AZ,2022-04-21 16:59:20,41.72,46.2647,64.44,66,79,3.94
287,Viedma,AR,2022-04-21 16:59:20,-40.8135,-62.9967,65.89,31,75,24.11
288,Mangrol,IN,2022-04-21 16:59:21,21.1167,70.1167,82.62,74,3,17.2
289,Katangli,RU,2022-04-21 16:59:21,51.7102,143.2326,29.5,96,100,10.85
290,Chimoio,MZ,2022-04-21 16:59:22,-19.1164,33.4833,67.86,100,75,5.66
291,Thunder Bay,CA,2022-04-21 16:59:22,48.4001,-89.3168,41.29,81,100,12.66
292,San Ramon De La Nueva Oran,AR,2022-04-21 16:59:22,-23.1322,-64.326,86.29,45,18,4.94
